"CourseId"|"CourseName"|"CourseCategoryId"|"CourseTitle"|"CourseDescription"|"CourseCredits"|"CourseReferenceId"
8875|"POLI SCI 274"|274|"Political Choice and Strategy"|"An introduction to decision analysis, strategic interaction, and voting systems and their manipulation. Examines a wide range of institutions for making social choices and the opportunities for the exercise of political strategy. "|"3-4"|22004
8876|"POLI SCI 277"|277|"Africa: An Introductory Survey"|"African society and culture, polity and economy in multidisciplinary perspectives from prehistory and ancient kingdoms through the colonial period to contemporary developments, including modern nationalism, economic development and changing social structure. "|"4"|17556
8877|"POLI SCI 297"|297|"African and African-American Linkages: An Introduction"|"Analysis of retention of African elements in African-American oral, written, and material culture. Social, cultural, and political issues regarding race, self-definition, and self-determination in both Africa and North America will be examined. "|"4"|238
8878|"POLI SCI 302"|302|"Mexican-American Politics"|"This class examines the major problems and issues in Mexican-American politics since World War II. An emphasis will be placed on the ways in which race, class and culture have structured politics for the Mexican origin people. Not open to students with credit for POLI SCI 464 prior to fall 2017"|"3-4"|15948
8879|"POLI SCI 304"|304|"The Political Economy of Race in the United States"|"Race in relation to American economic development. Problems of racial minorities in the American political and economic system. Not open to students with credit for POLI SCI 462 prior to fall 2017"|"3-4"|15946
8880|"POLI SCI 305"|305|"Elections and Voting Behavior"|"Psychological and social components of voting behavior, current electoral trends, role of voters in the governing process. Not open to students with credit for POLI SCI 467 prior to fall 2017"|"3-4"|15950
8881|"POLI SCI 309"|309|"Civil Liberties in the United States"|"American constitutional context, rights of conscience and expression; rights of defendants; equal protection of the laws; vindication of rights; proposals for reform. Not open to students with credit for POLI SCI 471 prior to fall 2017"|"3-4"|15955
8882|"POLI SCI 311"|311|"United States Congress"|"Principles, procedures and problems of the legislative process of the United States Congress. Not open to students with credit for POLI SCI 426"|"3-4"|15931
8883|"POLI SCI 314"|314|"Criminal Law and Justice"|"Substantive and procedural aspects of criminal law, including the purposes of criminal justice, specific crimes, criminal responsibility and punishment, legal concepts of proof, and 4th, 5th, and 6th Amendment issues. The case approach is used. Not open to students with credit for POLI SCI 452 prior to fall 2017"|"3-4"|15944
8884|"POLI SCI 315"|315|"Legislative Internship"|"Practical experience in a legislative office. Policy research. Readings in legislative process. "|"3"|15932
8885|"POLI SCI 316"|316|"Careers in Political Science"|"Facilitates transitions from undergraduate academic learning related to Political Science to meaningful and rewarding professional opportunities including jobs, paid internships, graduate study, and post-graduate fellowships. Building on core coursework in Political Science and related disciplines, addresses how to utilize existing academic learning and completed readings and assignments, extra-curricular activities, student research, for-pay work, internships, and interaction with alumni and other personal networks to further develop career options. Also provides practical ways to explore and pursue a wide range of career pathways related to Political Science. Develop essential professional development materials and self-promotional skills. "|"1"|26343
8886|"POLI SCI 320"|320|"Governments and Politics of the Middle East and North Africa"|"An introduction to the most pertinent themes to the study of politics and governance in the Middle East. Main topics to be covered: political economy of the region; link between Islam, culture and democracy; the politics of authoritarianism; and political Islam.  "|"3-4"|25845
8887|"POLI SCI 321"|321|"Latin-American Politics"|"Contemporary political problems in Latin America; emphasis on political economy, political instability, social movements, and democratization. Not open to students with credit for POLI SCI 630 prior to fall 2017"|"3-4"|16002
8888|"POLI SCI 322"|322|"Politics of Southeast Asia"|"Comparative analysis of such issues as state formation, state-society relations, the politics of economic development, tensions between authoritarianism and democracy, and the politics of identity, with particular attention to a select number of major countries of Southeast Asia. Not open to students with credit for POLI SCI 639 prior to fall 2017"|"3-4"|16007
8889|"POLI SCI 323"|323|"Islam and World Politics"|"Examines the multifaceted nature of political Islam in the contemporary world. Starting with the basic tenants of Islam, and key concepts and theoretical understandings of the relationships between Islam and politics, the course builds on the approaches developed in the first part of the course examining how Islam has influenced politics differently in various parts of the world including the Middle East, Southeast Asia, and South Asia. Students will familiarize themselves with theoretical debates about the roles of Islam in politics; analyze the impact of Islam on politics in the contemporary world; and gain empirical knowledge about how Islam functions differently in various countries. "|"3-4"|24832
8890|"POLI SCI 324"|324|"Chinese Politics"|"Examine three questions about Chinese politics through a comparative perspective. First, what functions do formal institutions such as the political party, legislature, courts, and bureaucracy serve in an authoritarian regime? Second, what are the political forces that lay a good foundation for China to successfully transition from a planning economy to a robust market economy and sustain high-speed growth for more than four decades? Finally, how does the Chinese government deal with pressing social problems and threats to its authoritarian leadership in this new era? "|"3-4"|16009
8891|"POLI SCI 325"|325|"Social Movements and Revolutions in Latin America"|"An introduction to the major empirical and theoretical themes in the study of social movements and politics in Latin America. While it is impossible to cover every theoretical approach or Latin American case during the semester, the course should give students the tools to begin to think critically about where and why people engage in collective action. We will develop and hone these tools through thinking about Latin American cases, paying specific attention to revolutions, social movements, and riots. The course is designed in three parts. It begins by exposing students to the dominant theoretical paradigms in the study of contentious politics as well as some prominent critiques. The course then turns to empirical themes in Latin American revolutions, challenging students to use and question the theoretical tools to which they have already been exposed. The final part of the course looks to social movements in Latin America. Cases will focus on challenges to dictatorships, identity-b"|"3-4"|24653
8892|"POLI SCI 327"|327|"Indian Politics in Comparative Perspective"|"This course explores the socio-economic and political outcomes across India. This course will employ the major theories of comparative politics that explain political outcomes such as regime type, economic development and conflict. This course explores why some countries are democracies, while others are dictatorships; why some countries are poor, while others are rich; and why some countries experience high levels of violence, while others are peaceful. The course considers how India comports with standard theories in comparative politics and how standard theories might be revised in light of the Indian case. The course maps variation on the sub-national and regional level. The course will ultimately consider reforms proposed by the Indian state to further democratic and economic development and to reduce conflict. Students will learn about India's politics in a structured manner, and will gain an appreciation of the power and limitations of the political science method. "|"3"|24414
